,divisions,title,abstract,subjects,publication,publisher,date,keywords,keyword,lang,translation
1000,['FKIP2'],dimensi identitas pi il pesenggiri ulun lampung dalam pengembangan konseling indigenous suatu tinjauan sistematis,dimensions of pi il pesenggiri ulun lampung s identity in indigenous counseling development a systematic review this research was conducted to find out and understand the meaning of pi il pesenggiri as one of the dimensions of lampung s ulun identity in the development of indigenous counseling the method used is a systematic review of a number of articles about pi il pesenggiri in reputable journals a search on journal databases such as doaj microsoft academic and researchgate found 234 journals with the keyword pi il pesenggiri furthermore the journals were collected for a screening process and their eligibility according to the inclusion and exclusion criteria determined by the researcher based on the screening process 5 articles were obtained which were the subject of research studies the results showed that pi il pesenggiri is the philosophy of life of ulun lampung which refers to selfesteem and honor includes aspects of 1 bejuluk adek 2 nemui nyimah 3 nengah nyappur and 4 sakai sambaiyan the value of pi il pesenggiri can be a potential in the development of customary extension these values can be the basis for increasing the multicultural competence of counselors in terms of understanding and knowledge of local wisdom this is based on the content possessed by pi il pesenggiri for ulun lampung in the form of divine values holiness religious values spiritual values moral values intellectual values individual values social values and material values these values can be recondensed into divine values human values and life values keywords 1 divorcees and counseling approach psychosocial challenges reality therapy,['L1'],,INDONESIAN JOURNAL OF  EDUCATIONAL COUNSELING,2022-01,,,en,"Dimensi identitas Pi Il Pesenggiri Ulun Lampung dalam Pengembangan Konseling Pribumi Sebuah tinjauan sistematis penelitian ini dilakukan untuk mengetahui dan memahami arti dari Pi Il Pesenggiri sebagai salah satu dimensi identitas Lampung S Ulun dalam pengembangan konseling adat. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode THE METODE yang digunakan. Metode THE METODE yang digunakan.Untuk kriteria inklusi dan eksklusi yang ditentukan oleh peneliti berdasarkan proses penyaringan 5 artikel diperoleh yang merupakan subjek penelitian penelitian, hasilnya menunjukkan bahwa pi il Pesengkgiri adalah filosofi kehidupan ulun lampung yang mengacu pada harga diri dan kehormatan termasuk aspek -aspek dari1 Bejuluk Adek 2 Nemui Nyimah 3 Nengah Nyappur dan 4 Sakai Sambaiyan Nilai Pi Il Pesgiri dapat menjadi potensi dalam pengembangan perpanjangan adat nilai -nilai ini dapat menjadi dasar untuk meningkatkan kompetensi multikultural konselor dalam hal pemahaman dan pengetahuan tentang lokalKebijaksanaan Ini didasarkan pada konten yang dimiliki oleh Pi Il Pesengkgiri untuk Ulun Lampung dalam bentuk nilai -nilai ilahi Yang Mulia Nilai -nilai agama nilai -nilai spiritual nilai -nilai moral nilai intelektual nilai -nilai individu nilai sosial dan nilai -nilai material -nilai material ini dapat direkondensikan menjadi nilai -nilai nilai ilahi dan nilai -nilai kehidupan kehidupan kehidupan kehidupan manusia dan kehidupan kehidupanKata kunci 1 Perceraian dan Pendekatan Konseling Tantangan Psikososial Terapi Realitas"
1001,['FKIP2'],dimensi identitas pi il pesenggiri ulun lampung dalam pengembangan konseling indigenous suatu tinjauan sistematis,dimensions of pi il pesenggiri ulun lampung s identity in indigenous counseling development a systematic review this research was conducted to find out and understand the meaning of pi il pesenggiri as one of the dimensions of lampung s ulun identity in the development of indigenous counseling the method used is a systematic review of a number of articles about pi il pesenggiri in reputable journals a search on journal databases such as doaj microsoft academic and researchgate found 234 journals with the keyword pi il pesenggiri furthermore the journals were collected for a screening process and their eligibility according to the inclusion and exclusion criteria determined by the researcher based on the screening process 5 articles were obtained which were the subject of research studies the results showed that pi il pesenggiri is the philosophy of life of ulun lampung which refers to selfesteem and honor includes aspects of 1 bejuluk adek 2 nemui nyimah 3 nengah nyappur and 4 sakai sambaiyan the value of pi il pesenggiri can be a potential in the development of customary extension these values can be the basis for increasing the multicultural competence of counselors in terms of understanding and knowledge of local wisdom this is based on the content possessed by pi il pesenggiri for ulun lampung in the form of divine values holiness religious values spiritual values moral values intellectual values individual values social values and material values these values can be recondensed into divine values human values and life values keywords 1divorcees and counseling approach psychosocial challenges reality therapy,"['D1', 'H1']",Indonesian Journal of Educational Counseling,Universitas Mathla'ul Anwar Banten,2022-01-31,,,en,"Dimensi identitas Pi Il Pesenggiri Ulun Lampung dalam Pengembangan Konseling Pribumi Sebuah tinjauan sistematis penelitian ini dilakukan untuk mengetahui dan memahami arti dari Pi Il Pesenggiri sebagai salah satu dimensi identitas Lampung S Ulun dalam pengembangan konseling adat. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode THE METODE yang digunakan. Metode THE METODE yang digunakan.Untuk kriteria inklusi dan eksklusi yang ditentukan oleh peneliti berdasarkan proses penyaringan 5 artikel diperoleh yang merupakan subjek penelitian penelitian, hasilnya menunjukkan bahwa pi il Pesengkgiri adalah filosofi kehidupan ulun lampung yang mengacu pada harga diri dan kehormatan termasuk aspek -aspek dari1 Bejuluk Adek 2 Nemui Nyimah 3 Nengah Nyappur dan 4 Sakai Sambaiyan Nilai Pi Il Pesgiri dapat menjadi potensi dalam pengembangan perpanjangan adat nilai -nilai ini dapat menjadi dasar untuk meningkatkan kompetensi multikultural konselor dalam hal pemahaman dan pengetahuan tentang lokalKebijaksanaan Ini didasarkan pada konten yang dimiliki oleh Pi Il Pesengkgiri untuk Ulun Lampung dalam bentuk nilai -nilai ilahi Yang Mulia Nilai -nilai agama nilai -nilai spiritual nilai -nilai moral nilai intelektual nilai -nilai individu nilai sosial dan nilai -nilai material -nilai material ini dapat direkondensikan menjadi nilai -nilai nilai ilahi dan nilai -nilai kehidupan kehidupan kehidupan kehidupan manusia dan kehidupan kehidupanKata kunci 1Divorcees dan pendekatan konseling tantangan psikososial terapi realitas"
1002,['FKIP2'],dimensi identitas pi il pesenggiri ulun lampung dalam pengembangan konseling indigenous suatu tinjauan sistematis,dimensions of pi il pesenggiri ulun lampung s identity in indigenous counseling development a systematic review this research was conducted to find out and understand the meaning of pi il pesenggiri as one of the dimensions of lampung s ulun identity in the development of indigenous counseling the method used is a systematic review of a number of articles about pi il pesenggiri in reputable journals a search on journal databases such as doaj microsoft academic and researchgate found 234 journals with the keyword pi il pesenggiri furthermore the journals were collected for a screening process and their eligibility according to the inclusion and exclusion criteria determined by the researcher based on the screening process 5 articles were obtained which were the subject of research studies the results showed that pi il pesenggiri is the philosophy of life of ulun lampung which refers to selfesteem and honor includes aspects of 1 bejuluk adek 2 nemui nyimah 3 nengah nyappur and 4 sakai sambaiyan the value of pi il pesenggiri can be a potential in the development of customary extension these values can be the basis for increasing the multicultural competence of counselors in terms of understanding and knowledge of local wisdom this is based on the content possessed by pi il pesenggiri for ulun lampung in the form of divine values holiness religious values spiritual values moral values intellectual values individual values social values and material values these values can be recondensed into divine values human values and life values,['L1'],,INDONESIAN JOURNAL OF EDUCATIONAL COUNSELING,2022,,,en,"Dimensi identitas Pi Il Pesenggiri Ulun Lampung dalam Pengembangan Konseling Pribumi Sebuah tinjauan sistematis penelitian ini dilakukan untuk mengetahui dan memahami arti dari Pi Il Pesenggiri sebagai salah satu dimensi identitas Lampung S Ulun dalam pengembangan konseling adat. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode yang digunakan. Metode THE METODE yang digunakan. Metode THE METODE yang digunakan.Untuk kriteria inklusi dan eksklusi yang ditentukan oleh peneliti berdasarkan proses penyaringan 5 artikel diperoleh yang merupakan subjek penelitian penelitian, hasilnya menunjukkan bahwa pi il Pesengkgiri adalah filosofi kehidupan ulun lampung yang mengacu pada harga diri dan kehormatan termasuk aspek -aspek dari1 Bejuluk Adek 2 Nemui Nyimah 3 Nengah Nyappur dan 4 Sakai Sambaiyan Nilai Pi Il Pesgiri dapat menjadi potensi dalam pengembangan perpanjangan adat nilai -nilai ini dapat menjadi dasar untuk meningkatkan kompetensi multikultural konselor dalam hal pemahaman dan pengetahuan tentang lokalKebijaksanaan Ini didasarkan pada konten yang dimiliki oleh Pi Il Pesengkgiri untuk Ulun Lampung dalam bentuk nilai -nilai ilahi Yang Mulia Nilai -nilai agama nilai -nilai spiritual nilai -nilai moral nilai intelektual nilai -nilai individu nilai sosial dan nilai -nilai material -nilai material ini dapat direkondensikan menjadi nilai -nilai nilai ilahi dan nilai -nilai kehidupan kehidupan kehidupan kehidupan manusia dan kehidupan kehidupan"
1003,['FKIP2'],sosialisasi implementasi media layanan informasi dengan tema kesejahteraan psikologis,abstract health is a basic need for every individual health is not only related to physical health but also mental health psychological wellbeing is a manifestation of an individual s mental health psychological wellbeing is positively correlated with social support internal locus of control optimism job satisfaction selfefficacy contextual performance gratitude resilience and job involvement individual processes to achieve psychological wellbeing need to be pursued through the provision of systematic guidance services information service is one of the important services to be implemented because every individual is basically thirsty for information information can be used by individuals to increase their knowledge and understanding of the concept of psychological wellbeing this community service is designed to implement psychological wellbeing information services with educational comic media educational comics media are considered to be more effective in delivering information more varied so that they do not become saturated and can be accessed wherever they are keywords information services mental health psychological wellbeing,['H1'],NUWO ABDIMAS,Fakultas Keguruan dan Ilmu Pendidikan Universitas Lampung,2022-11-12,,,en,Abstrak Kesehatan adalah kebutuhan dasar untuk setiap kesehatan individu tidak hanya terkait dengan kesehatan fisik tetapi juga kesejahteraan psikologis kesehatan mental adalah manifestasi dari kesejahteraan psikologis kesehatan mental individu berkorelasi positif dengan pendukung sosial internal locus dari kontrol optimisme kepuasan kerja kepuasan kerja selfeficacy kinerja kontekstual kontekstualKetahanan terima kasih dan keterlibatan pekerjaan Proses individu untuk mencapai kesejahteraan psikologis perlu dikejar melalui penyediaan layanan informasi layanan panduan sistematis adalah salah satu layanan penting yang harus diimplementasikan karena setiap individu pada dasarnya haus akan informasi informasi dapat digunakan oleh individu untuk meningkatkan merekaPengetahuan dan pemahaman tentang konsep kesejahteraan psikologis Layanan masyarakat ini dirancang untuk mengimplementasikan layanan informasi kesejahteraan psikologis dengan media komik komik pendidikan pendidikan media dianggap lebih efektif dalam memberikan informasi yang lebih bervariasi sehingga mereka tidak menjadi jenuh dan dapat diakses di mana punMereka adalah kata kunci layanan informasi kesehatan psikologis kesehatan mental
1004,['FKIP10'],similarity check the influence of entrepreneurial attitudes subjective norms and selfefficacy on entrepreneurial intentions,entrepreneurship is an important component in economics especially for students in universities however it is not clear what aspects of entrepreneurship play the most significant role in student success therefore this study aims to examine the effect of entrepreneurial attitudes on entrepreneurial intentions selfefficacy on entrepreneurial intentions and subjective norms on entrepreneurial intentions the research model carried out is a quantitative type and is a crosssectional study the population in this study was students of the university of lampung in indonesia the sampling technique used purposive sampling with the criteria for final semester students or at least semester 6 to consider decision making after graduation the number of samples in this study was 436 people hypothesis testing was assisted by research data analysis using spss version 21 software the results showed that entrepreneurial attitudes had a significant effect on entrepreneurial intentions in addition subjective norms also have a significant effect on entrepreneurial intentions likewise selfefficacy also has a significant effect on entrepreneurial intentions the test of the three variables that affect students interest in entrepreneurship can be said that the subjective norm variable is the variable that most influences students entrepreneurial interest study implications and suggestions for future mresearch are also discussed,['L1'],,FKIP Universitas Lampung,2022-02-12,,,en,"Kewirausahaan adalah komponen penting dalam bidang ekonomi terutama bagi siswa di universitas namun tidak jelas aspek -aspek apa dari kewirausahaan yang memainkan peran paling penting dalam keberhasilan siswa oleh karena itu penelitian ini bertujuan untuk menguji efek dari sikap kewirausahaan pada norma -norma subyektif wirausaha dan norma -norma subyektif wirausaha dan norma -norma subyektif wirausaha dan norma -norma subyektif wirausaha dan norma -norma subyektif wirausaha dan norma -norma subyektif wirausaha dan norma -norma subyektif wirausaha dan norma -norma subyektif wirausaha dan norma -norma subyektif wirausaha dan norma -norma subjektif wirausaha dan norma -norma subjektif wirausaha dan selfeficacy wirausaha dan norma -norma subyektif norma subjektif dan selfeficacy selfeficacy pada norma norma subjektif dan norma subyektifTentang niat kewirausahaan, model penelitian yang dilakukan adalah tipe kuantitatif dan merupakan studi crosssectional populasi dalam penelitian ini adalah mahasiswa Universitas Lampung di Indonesia Teknik pengambilan sampel yang menggunakan pengambilan sampel purposive dengan kriteria untuk siswa semester akhir atau setidaknya semester 6 hingga semester 6 hingga 6 hingga 6 hingga 6 hingga 6 hingga 6 hingga 6 hingga 6Pertimbangkan pengambilan keputusan setelah lulus jumlah sampel dalam penelitian ini adalah 436 orang pengujian hipotesis dibantu oleh analisis data penelitian menggunakan perangkat lunak SPSS versi 21 Hasilnya menunjukkan bahwa sikap wirausaha memiliki efek yang signifikan terhadap niat wirausaha sebagai tambahan norma subyektif juga memiliki efek yang signifikanTentang niat kewirausahaan juga, selfeficacy juga memiliki efek signifikan terhadap niat kewirausahaan, tes dari tiga variabel yang mempengaruhi minat siswa dalam kewirausahaan dapat dikatakan bahwa variabel norma subyektif adalah variabel yang paling memengaruhi siswa Studi Bunga Kewirausahaan dan Saran untuk Penelitian di masa depan adalah Mresearch adalah Mresearch adalah Mresearch Are di masa depanjuga dibahas"
1005,['FT4'],occupational health and safety risk analysis in construction projects a systematic literature review,the construction service business world always wants the best results in every project activities carried out one of the best desired outcomes is the timely completion of a construction project but this is often not achieved for several reasons one of which is occupational health and safety incidents that occurs in a construction project based on the background of the problem and the results of a literature review sourced from 40 journals from 2011-2021 the journals collected and reviewed discussed occupational health and safety in construction projects therefore it is very necessary to implement an ohs occupational health and safety management system during construction work occupational health and safety aims to create conditions that support work comfort for workers so as to improve risk management using sources based on previous research the following will identify the types of occupational safety and health risk factors that most often occur in construction work the types of risks that will be discussed here will be divided into three types based on internal risk external risk and project risk types of risk are divided into two types namely technical and nontechnical risks based on data from a total of 40 studies that have been reviewed there are 22 studies that have project risk as the risk that causes 76% of risk in a building construction project,['TA'],Indonesian Journal of Industrial Engineering & Management,Universitas Mercu Buana,2022-02-01,,,en,"Dunia bisnis jasa konstruksi selalu menginginkan hasil terbaik dalam setiap kegiatan proyek yang dilakukan salah satu hasil yang diinginkan terbaik adalah penyelesaian tepat waktu dari proyek konstruksi tetapi ini sering tidak dicapai karena beberapa alasan yang salah satunya adalah insiden kesehatan dan keselamatan kerja yang terjadi yang terjadiDalam proyek konstruksi berdasarkan latar belakang masalah dan hasil tinjauan literatur yang bersumber dari 40 jurnal dari 2011-2021 jurnal yang dikumpulkan dan ditinjau dibahas kesehatan dan keselamatan kerja dalam proyek konstruksi oleh karena itu sangat penting untuk menerapkan kesehatan kerja OHS ONS ONS ONSdan sistem manajemen keselamatan selama pekerjaan konstruksi kesehatan dan keselamatan kerja bertujuan untuk menciptakan kondisi yang mendukung kenyamanan kerja bagi pekerja untuk meningkatkan manajemen risiko menggunakan sumber berdasarkan penelitian sebelumnya yang berikut ini akan mengidentifikasi jenis -jenis faktor keselamatan kerja dan risiko kesehatan yang paling sering terjadiDalam pekerjaan konstruksi, jenis risiko yang akan dibahas di sini akan dibagi menjadi tiga jenis berdasarkan risiko internal risiko eksternal dan risiko risiko proyek dibagi menjadi dua jenis yaitu risiko teknis dan nonteknis berdasarkan data dari total 40 studi yang bahwa yang yang yangtelah ditinjau ada 22 studi yang memiliki risiko proyek sebagai risiko yang menyebabkan 76% risiko dalam proyek konstruksi bangunan"
1006,['FEB4'],whistleblowing system and fraud prevention a literature review,aims this study examines previous research literature on the effect of the whistleblowing system as a collaborative system on fraud prevention in a company or organization study design this study reviews the literature on fraud prevention available in various databases place and duration of study samples were taken from 10 accredited journals in indonesia publication date of the last 10 years from 2012 to 2021 methodology this study is a literature review study carried out in stages determining the formulation of the problem and research questions using the pico problem intervention comparison outcome method searching for articles publications based on the inclusion and exclusion criteria that have been determined perform analysis and synthesis of the articles that have been collected conclusion the results of this study indicate that a whistleblowing system is a form of reporting and supervision of an organization or company there are 4 four essential elements in the whistleblowing system namely anonymity independence accessibility and followup whistleblowing system is an effective mechanism for preventing fraud its implementation requires the company s commitment to protecting the whistleblower s data a transparent and responsible reporting mechanism and evaluating and improving the system therefore companies are advised to implement an effective whistleblowing system to support fraud prevention,"['HG', 'HJ']","Asian Journal of Economics, Business and Accounting",Till Date,2022-06-03,,,en,Tujuan Penelitian ini meneliti literatur penelitian sebelumnya tentang efek sistem whistleblowing sebagai sistem kolaboratif pada pencegahan penipuan di perusahaan atau organisasi desain studi penelitian ini meninjau literatur tentang pencegahan penipuan yang tersedia di berbagai tempat dan durasi sampel studi diambil dari 10Jurnal Terakreditasi di Indonesia Tanggal Publikasi 10 tahun terakhir dari 2012 hingga 2021 Metodologi Studi ini adalah studi tinjauan literatur yang dilakukan secara bertahap menentukan perumusan masalah masalah dan penelitian menggunakan metode hasil perbandingan intervensi masalah PICO mencari publikasi artikel berdasarkan publikasi berdasarkan publikasi berdasarkan pada publikasi berdasarkan pada publikasi berdasarkan PICOKriteria inklusi dan eksklusi yang telah ditentukan melakukan analisis dan sintesis artikel yang telah dikumpulkan kesimpulan hasil penelitian ini menunjukkan bahwa sistem whistleblowing adalah bentuk pelaporan dan pengawasan organisasi atau perusahaan ada 4 empat elemen penting dalamSistem whistleblowing yaitu anonimitas aksesibilitas independensi dan tindak lanjut sistem whistleblowing adalah mekanisme yang efektif untuk mencegah penipuan implementasinya membutuhkan komitmen perusahaan untuk melindungi data whistleblower sebagai mekanisme pelaporan yang transparan dan bertanggung jawab dan mengevaluasi dan meningkatkan sistem oleh karena itu perusahaan disarankan untuk mengimplementasikan sebuahSistem whistleblowing yang efektif untuk mendukung pencegahan penipuan
1007,['FKIP10'],utilization of elearning media portal kemdikbud learning house during pandemic learning to increase learning motivation of junior high school students,the education system in indonesia is experiencing new challenges due to the covid-19 virus outbreak which has caused the entire learning system in educational institutions to be shifted to online online methods the implementation of online learning that is too long has an impact on students learning motivation too long a time makes students bored because almost every day they have to sit in front of devices such as smartphones laptops and so on to access online learning the policy of studying at home demands a high motivation from students to learn while what is happening at this time is a decline in student learning motivation in this case the teacher is required to be able to use technology in order to continue the continuity of teaching online learning media in the form of elearning media portal for home learning kemdikbud is one solution in the midst of the covid-19 pandemic to increase student learning motivation this study aims to explain the benefits of elearning to increase students learning motivation this study uses a quantitative phenomenological approach and uses an interactive model of miles huberman data were collected through indepth interviews observations and questionnaires the results showed an increase in students learning motivation in social studies lessons by utilizing five features in the learning house portal such as learning resources electronic school books bse question banks cultural maps and maya classes google meet and zoom meetings as one of the learning resources however it also has obstacles from several factors such as the unpreparedness of students in the distance learning process the conditions of the learning environment that are not conducive the condition of the parents of students the lack of support for facilities provided by parents and the psychological state of students which includes talent intelligence attitudes perceptions and interests are also factors of student success in learning,['L1'],"International Advanced Research Journal in Science, Engineering and Technology","International Advanced Research Journal in Science, Engineering and Technology",2022,,"['online learning', 'home learning portal', 'learning motivation']",en,"Sistem Pendidikan di Indonesia mengalami tantangan baru karena wabah virus COVID-19 yang telah menyebabkan seluruh sistem pembelajaran di lembaga pendidikan dialihkan ke metode online online implementasi pembelajaran online yang terlalu lama berdampak pada motivasi belajar siswa siswa siswa siswaterlalu lama waktu membuat siswa bosan karena hampir setiap hari mereka harus duduk di depan perangkat seperti laptop smartphone dan sebagainya untuk mengakses pembelajaran online kebijakan di rumah menuntut motivasi tinggi dari siswa untuk belajar sementara apa yang terjadi pada iniWaktu adalah penurunan dalam motivasi pembelajaran siswa dalam hal ini guru diharuskan dapat menggunakan teknologi untuk melanjutkan kesinambungan mengajar media pembelajaran online dalam bentuk portal media eLearning untuk pembelajaran rumah kemdikbud adalah salah satu solusi di tengah -tengahPandemi COVID-19 untuk meningkatkan motivasi pembelajaran siswa, penelitian ini bertujuan untuk menjelaskan manfaat eLearning untuk meningkatkan motivasi belajar siswa, penelitian ini menggunakan pendekatan fenomenologis kuantitatif dan menggunakan model interaktif data Miles Huberman dikumpulkan melalui pengamatan wawancara mendalam dan kuesioner. Hasilnyamenunjukkan peningkatan motivasi belajar siswa dalam pelajaran studi sosial dengan memanfaatkan lima fitur di portal rumah belajar seperti sumber belajar sumber sekolah elektronik buku BSE pertanyaan bank peta budaya dan kelas maya google meet dan zoom rapat sebagai salah satu sumber belajar namun demikian juga memilikihambatan dari beberapa faktor seperti ketidaksiapan siswa dalam proses pembelajaran jarak jauh kondisi lingkungan belajar yang tidak kondusif kondisi orang tua siswa kurangnya dukungan untuk fasilitas yang diberikan oleh orang tua dan keadaan psikologis siswa yang mencakup bakatPersepsi dan minat kecerdasan juga merupakan faktor keberhasilan siswa dalam belajar"
1008,,development of student worksheets write project based learningbased explanatory text for class xi senior high school,aim the aim of this research is to produce student worksheets using project based learning model describe the feasibility of students worksheets using project based learning and determine the effectiveness of students worksheets using project based learning model study design research and development background the problem in this research is related to the development of student worksheets writing projectbased learning texts of class xi high school learners the purpose of this study is to produce students worksheet teaching materials to write projectbased learning explanatory texts knowing the feasibility and effectiveness of student worksheets in writing explanatory texts in grade xi high school learners research methods methods used in this research and development r d research and also uses two method qualitative and quantitative methods data collection techniques with observations interviews and deployment of questionnaires at three schools in metro city research results the results showed that the product was successfully developed in the form of students worksheet writing project based learning explanatory text the feasibility of students work sheet as a whole was declared very feasible by material experts learning experts and practitioners with percentages of 82% 84% and 85.71% students worksheet effectively improves explanatory text writing capabilities with ngain by 0.38 0.38 and 0.37 falls into the medium category,"['L1', 'LB1501', 'LC5201']",Journal of Scientific Research & Reports,Journal of Scientific Research & Reports,2022-04,,,en,"Tujuan Tujuan dari penelitian ini adalah untuk menghasilkan lembar kerja siswa menggunakan model pembelajaran berbasis proyek menggambarkan kelayakan lembar kerja siswa menggunakan pembelajaran berbasis proyek dan menentukan efektivitas lembar kerja siswa menggunakan model pembelajaran berbasis proyek studi desain dan latar belakang pengembangan masalah dalam penelitian ini adalahTerkait dengan Pengembangan Lembar Kerja Siswa Menulis Teks Pembelajaran Berbasis Proyek dari Pembelajar Sekolah Menengah Kelas XI Tujuan dari penelitian ini adalah untuk menghasilkan lembar kerja siswa mengajar materi untuk menulis teks -teks penjelasan pembelajaran berbasis proyek mengetahui kelayakan dan efektivitas lembar kerja siswa dalam menulis teks penjelasan di kelas XIDalam bentuk Siswa Worksheet Penulisan Proyek Berbasis Teks Penjelasan Penjelasan Kelayakan Lembar Kerja Siswa Secara keseluruhan dinyatakan sangat layak oleh para pakar pembelajaran material dan praktisi dengan persentase 82% 84% dan 85,71% Siswa Lembar Kerja secara efektif meningkatkan kemampuan penulisan teks penjelasan.dengan Ngain sebesar 0,38 0,38 dan 0,37 masuk ke dalam kategori menengah"
1009,['FEB4'],sharia finance workshop for msme in bandar lampung city,running a business in a halal and blessed way is a necessity for muslim entrepreneurs to realize a good business of course good islamic financial education is needed the service team from feb unila took the initiative to provide training for msmes in bandar lampung city in the form of introducing sharia financial literacy so businesses can continue and comply with sharia values we package this workshop activity in the focus group discussion and lecture methods it allows participants to actively participate in this activity we hoped that after participating in this activity participants will open their horizons in recognizing the concept of islamic finance islamic banking products and open access to capital from islamic financial institutions,"['HG', 'HJ']",Sumbangsih,Universitas Lampung,2022-11-18,,,en,"Menjalankan bisnis dengan cara yang halal dan diberkati adalah keharusan bagi wirausahawan Muslim untuk mewujudkan bisnis yang baik tentu saja pendidikan keuangan Islam yang baik diperlukan tim jasa dari Feb Unila mengambil inisiatif untuk memberikan pelatihan bagi MSM di Kota Lampung Bandar dalam bentuk dari bentuk dalam bentuk dari Bandar dalam bentuk dari bentuk dalam bentuk dari Bandar dalam bentuk dari Bandar dalam bentuk dari Bandar dalam bentuk dari Bandar dalam bentuk dari Bandar dalam bentuk dari Bandar dalam bentuk dari Bandar dalam bentuk dari Bandar dalam bentuk dari Bandar dalam bentuk dari Bandar dalam bentuk dari Bandar dalam bentuk dari Bandar dalam bentuk dari Bandar dalam bentuk dari Bandar dalam bentuk dari Bandar dalam bentuk dari Bandar dalam bentuk dari Bandar dalam bentuk dari Bandar dalam bentuk dari Bandar dalam bentuk dari Bandar dalam bentuk dari Bandar dalam bentuk dari Bandar dalam bentuk dari Bandar dalam bentuk dari Bandar dalam bentuk dari Bandar dalam bentuk BANDAR OF OF OF OF OF OF OF OF OF OF OF OF OF OFMemperkenalkan Literasi Keuangan Syariah Sehingga bisnis dapat melanjutkan dan mematuhi nilai -nilai Syariah, kami mengemas kegiatan lokakarya ini dalam diskusi kelompok fokus dan metode kuliah yang memungkinkan para peserta untuk secara aktif berpartisipasi dalam kegiatan ini, kami berharap bahwa setelah berpartisipasi dalam kegiatan ini, peserta akan membuka wawasan mereka dalam mengenali dalam mengenali dalam mengenali dalam Mengenali dalam MengakuKonsep produk perbankan Islam Keuangan Islam dan akses terbuka ke modal dari lembaga keuangan Islam"
