,divisions,title,abstract,subjects,publication,publisher,date,keywords,keyword,lang,translation
1500,['FP24'],evaluation of trichoderma asperellum effect toward anthracnose pathogen activity on red chili capsicum annum l as ecofriendly pesticide,the use of synthetic pesticides has been widely practiced by farmers to control plant diseases however it can promote negative impacts such as environmental pollution threatening human health and making pathogens more resistant this study aims to determine the inhibition of trichoderma tcjjr-02 in vitro against colletotrichum sp and test its ability as a biopesticide and biofertilizer agent in suppressing the growth of anthracnose disease and chili production the results show that there was no interaction effect between the application of trichoderma tcjjr-02 as a biopesticide and biofertilizer agent the in vitro test reveals that trichoderma tcjjr-02 could inhibit the growth of pathogenic colonies up to 61.4% at 11 days after inoculation in vivo test show that application of trichoderma 6 hours before inoculation of pathogens t1 and trichoderma inoculation concurrent pathogens t3 can reduce the symptoms intensity of anthracnose attacks 70% and 43% respectively then increasing the number of fresh fruit 62.66% and 76.58% respectively also increasing fresh fruit weights 84.83% and 91.90% respectively compared with the pathogen inoculation treatment six hours before the application of trichoderma thus trichoderma is more effective when applied before inoculation of pathogens and more suitable as a prevention agent using trichoderma asperellum as biopesticed can protect the environment,['S1'],,International Journal of Environmental Science and Development,2022-08-01,,,en,"Penggunaan pestisida sintetis telah banyak dipraktikkan oleh petani untuk mengendalikan penyakit tanaman namun dapat meningkatkan dampak negatif seperti polusi lingkungan yang mengancam kesehatan manusia dan membuat patogen lebih resisten penelitian ini bertujuan untuk menentukan penghambatan trichoderma tcjjr-02 in vitro terhadap colletotrichum sp sp colletotrichum sp sp colletotrichum sp sp colletotrichumTCJJR-02 dapat menghambat pertumbuhan koloni patogen hingga 61,4% pada 11 hari setelah inokulasi uji in vivo menunjukkan bahwa penerapan trichoderma 6 jam sebelum inokulasi patogen T1 dan inokulasi trichoderma serang 70%.dan masing -masing 43% kemudian meningkatkan jumlah buah segar 62,66% dan 76,58% masing -masing juga meningkatkan bobot buah segar 84,83% dan 91,90% masing -masing dibandingkan dengan perlakuan inokulasi patogen sebelum diinokulasi enam jam sebelum penerapan trichoderma dengan demikian trichoderma lebih efektif ketika diaplikasikan sebelum diinokulasi sebelum diinokulasi.patogen dan lebih cocok sebagai agen pencegahan menggunakan trichoderma asperellum sebagai biopestik dapat melindungi lingkungan"
1501,['FK1'],multilevel analysis of health services in the stunting prevention program in central lampung district,stunting is a condition of chronic malnutrition accompanied by complications of infectious diseases which has a harmful impact in the short term risky and easy to get sick in children and long term impact in adulthood they are at risk of having chronic diseases with low severity maternal and child health services affect the incidence of stunting and the indonesian government intervenes in maternal and child health service programs as is the case with the local government of central lampung regency the mother s response to the motherchild health service program can affect the child s health status including the child s stunting status this study analyzes the maternalchild health service program carried out by the service unit in the village for the mothers of children under five to prevent stunting in the work area of central lampung district the method used is a quantitative analysis using multiple linear regression analysis the data were collected through interviews and observations of mothers of children under five totaling 198 respondents in the stunting locus village central lampung regency the sample was determined using a simple random selection of both cases and controls there was an effect of intervention efforts to prevent motherchild stunting at the village level for mothers of children under five with a practical value of 14.5% this situation means that the intervention efforts of the motherchild health service program on stunting prevention by the local government of central lampung regency carried out by health workers and cadres in the village have succeeded in providing a positive response to mothers of children under five by 14.5% another factor that affected the reaction of mothers of children under five is 75.4% further research is still needed on these other factors,"['RA', 'RJ101']",Nongye Jixie Xuebao Transactions of the Chinese Society of Agricultural Machinery,Nongye Jixie Xuebao/Transactions of the Chinese Society of Agricultural Machinery,2022-11-03,,,en,"Stunting adalah kondisi malnutrisi kronis disertai dengan komplikasi penyakit menular yang memiliki dampak berbahaya dalam berisiko jangka pendek dan mudah sakit pada anak -anak dan dampak jangka panjang di masa dewasa mereka berisiko mengalami penyakit kronis dengan keparahan rendah ibu dan anak -anak.Layanan Kesehatan Mempengaruhi Insiden Stunting dan Pemerintah Indonesia Mengintervensi dalam Program Layanan Kesehatan Ibu dan Anak Seperti halnya dengan Pemerintah Daerah Kabupaten Lampung Pusat Respons ibu terhadap Program Layanan Kesehatan Motherchild dapat mempengaruhi status kesehatan anak termasuk tersebut termasuk dalamAnalisis Data dikumpulkan melalui wawancara dan pengamatan ibu -ibu dari anak -anak di bawah lima total 198 responden di desa locus stunting Central Lampung Regency sampel ditentukan dengan menggunakan seleksi acak sederhana dari kedua kasus dan kontrol ada efek upaya intervensi untuk mencegah MotherchildMemuruk di tingkat desa untuk ibu -ibu dari anak -anak di bawah lima tahun dengan nilai praktis 14,5% situasi ini berarti bahwa upaya intervensi program Layanan Kesehatan Motherchild pada pencegahan yang mengejutkan oleh Pemerintah Daerah Kabupaten Lampung Pusat yang dilakukan oleh petugas kesehatan dan kader diDesa ini telah berhasil memberikan respons positif kepada ibu dari anak -anak di bawah lima dengan 14,5% faktor lain yang mempengaruhi reaksi ibu dari anak -anak di bawah lima tahun adalah 75,4% penelitian lebih lanjut masih diperlukan pada faktor -faktor lain ini"
1502,,cek similarity developing assessment instrument using polytomous response in mathematics,this research is a developmental research aiming at developing a good mathematical test instrument using polytomous responses based on classical and modern theories this research design uses the plomp model which consists of five stages 1 preliminary investigation 2 design 3 realization construction 4 revision and 5 implementation testing the study was conducted in three vocational schools in lampung province indonesia the study involved 413 students consisting of 191 male and 222 female students the data were collected through questionnaire and test the questionnaire was used to identify the assessment instruments currently employed by teachers and to be validated by the experts of mathematics and educational evaluation the test used an open polytomous response test numbering of 40 items the data were analyzed using both classical and modern theories the results show that 1 the open polytomous response test has a good category according to classical and modern theory however the discrimination power of test items in classical theory needs several revisions 2 the assessment instrument using the polytomous response of open multiple choice can guarantee information on the actual competence of students this is proven by the fact that there is a harmony between the analysis result obtained from classical and modern theory from the students arguments when giving reasons for their choices therefore the open polytomous response test can be used as an alternative to learning assessment,['LB1603'],,Eurasian Society of Educational Research,2022-07-15,,,en,Penelitian ini adalah penelitian perkembangan yang bertujuan untuk mengembangkan instrumen uji matematika yang baik menggunakan respons polytomous berdasarkan teori klasik dan modern desain penelitian ini menggunakan model plomp yang terdiri dari lima tahap 1 Investigasi Pendahuluan 2 Desain 3 Konstruksi Realisasi 4 Revisi dan 5 Pengujian ImplementasiStudi dilakukan di tiga sekolah kejuruan di Provinsi Lampung Indonesia Studi ini melibatkan 413 siswa yang terdiri dari 191 pria dan 222 siswa perempuan data dikumpulkan melalui kuesioner dan menguji kuesioner digunakan untuk mengidentifikasi instrumen penilaian yang saat ini digunakan oleh guru dan untuk divalidasi olehPara ahli matematika dan evaluasi pendidikan Tes ini menggunakan penomoran uji respons polytomous terbuka dari 40 item data dianalisis menggunakan teori klasik dan modern hasilnya menunjukkan bahwa 1 tes respons polytomous terbuka memiliki kategori yang baik menurut teori klasik dan modern NamunKekuatan diskriminasi item tes dalam teori klasik membutuhkan beberapa revisi 2 instrumen penilaian menggunakan respons polytomous dari pilihan ganda terbuka dapat menjamin informasi tentang kompetensi aktual siswa ini dibuktikan oleh fakta bahwa ada harmoni antara hasil analisis yang diperoleh dari yang diperoleh dari dariTeori klasik dan modern dari argumen siswa saat memberikan alasan untuk pilihan mereka oleh karena itu tes respons polytomous terbuka dapat digunakan sebagai alternatif untuk penilaian pembelajaran
1503,,developing assessment instrument using polytomous response in mathematics,this research is a developmental research aiming at developing a good mathematical test instrument using polytomous responses based on classical and modern theories this research design uses the plomp model which consists of five stages 1 preliminary investigation 2 design 3 realization construction 4 revision and 5 implementation testing the study was conducted in three vocational schools in lampung province indonesia the study involved 413 students consisting of 191 male and 222 female students the data were collected through questionnaire and test the questionnaire was used to identify the assessment instruments currently employed by teachers and to be validated by the experts of mathematics and educational evaluation the test used an open polytomous response test numbering of 40 items the data were analyzed using both classical and modern theories the results show that 1 the open polytomous response test has a good category according to classical and modern theory however the discrimination power of test items in classical theory needs several revisions 2 the assessment instrument using the polytomous response of open multiple choice can guarantee information on the actual competence of students this is proven by the fact that there is a harmony between the analysis result obtained from classical and modern theory from the students arguments when giving reasons for their choices therefore the open polytomous response test can be used as an alternative to learning assessment,['LB1603'],European Journal of Educational Research,Eurasian Society of Educational Research,2022-07-15,,,en,Penelitian ini adalah penelitian perkembangan yang bertujuan untuk mengembangkan instrumen uji matematika yang baik menggunakan respons polytomous berdasarkan teori klasik dan modern desain penelitian ini menggunakan model plomp yang terdiri dari lima tahap 1 Investigasi Pendahuluan 2 Desain 3 Konstruksi Realisasi 4 Revisi dan 5 Pengujian ImplementasiStudi dilakukan di tiga sekolah kejuruan di Provinsi Lampung Indonesia Studi ini melibatkan 413 siswa yang terdiri dari 191 pria dan 222 siswa perempuan data dikumpulkan melalui kuesioner dan menguji kuesioner digunakan untuk mengidentifikasi instrumen penilaian yang saat ini digunakan oleh guru dan untuk divalidasi olehPara ahli matematika dan evaluasi pendidikan Tes ini menggunakan penomoran uji respons polytomous terbuka dari 40 item data dianalisis menggunakan teori klasik dan modern hasilnya menunjukkan bahwa 1 tes respons polytomous terbuka memiliki kategori yang baik menurut teori klasik dan modern NamunKekuatan diskriminasi item tes dalam teori klasik membutuhkan beberapa revisi 2 instrumen penilaian menggunakan respons polytomous dari pilihan ganda terbuka dapat menjamin informasi tentang kompetensi aktual siswa ini dibuktikan oleh fakta bahwa ada harmoni antara hasil analisis yang diperoleh dari yang diperoleh dari dariTeori klasik dan modern dari argumen siswa saat memberikan alasan untuk pilihan mereka oleh karena itu tes respons polytomous terbuka dapat digunakan sebagai alternatif untuk penilaian pembelajaran
1504,['FMIPA9'],image cryptography based on a secondorder qrt difference equation,the use of mathematical concepts of mapping in cryptography provides advantages in securing text or image data the qualitative properties of mapping can preserve data that is kept confidential two of the essential properties in the mapping are the reversible and the preserving area in this article besides constructing a linear mapping derived from a secondorder qrt difference equation and examining its qualitative properties the coding procedure is used to encrypt text and fractal images based on the twodimensional linear maps for the digital text and image security algorithms we developed the pseudo code algorithm implemented in mathematica the proposed encoding technique will be compared with a 2d mkdv linear map to demonstrate its efficacy,['QA'],"International Journal of Mathematical, Engineering and Management Sciences",,2022,,,en,"Penggunaan konsep matematika pemetaan dalam kriptografi memberikan keuntungan dalam mengamankan data teks atau gambar, sifat kualitatif pemetaan dapat mempertahankan data yang dirahasiakan dua sifat penting dalam pemetaan adalah reversibel dan area pelestarian dalam artikel ini selain membangun aPemetaan linier yang berasal dari persamaan perbedaan qrt order sekunder dan memeriksa sifat kualitatifnya. Prosedur pengkodean digunakan untuk mengenkripsi teks dan gambar fraktal berdasarkan peta linier twodimensional untuk matematika dan algoritma keamanan gambar yang diusulkan kami kembangkan algoritma pseudo yang diimplementasikan dalam matematika yang diusulkan, kami mengembangkan algoritma pseudo yang diimplementasikan dalam matematika.Teknik pengkodean akan dibandingkan dengan peta linier MKDV 2D untuk menunjukkan kemanjurannya"
1505,['FP24'],keragaman dan kelimpahan artropoda tajuk tanaman cabai dan terong di pringsewu lampung,chili and eggplant were two famous vegetable crops in pringsewu lampung and their cultivation practice were intensively using synthetic mulch inorganic fertilizer and synthetic pesticides that may affect to arthropods communities the purpose of this research was to study diversity and abundance of arthropod community inhabited canopy crop of chili and eggplant in pringsewu lampung sampling of arthropods by yellow sticky trap and ground cloth methods on 4 6 and 10 weeks after planting of chili and eggplant crops were conducted in district of adiluwih pringsewu province of lampung on may until august 2022 identification of arthropods into taxon of family was done in plant pest laboratory university of lampung the result show that the abundance of arthropod that indicated by total individual that were caught were 905 on chili and 1399 on eggplant respectively taxonomic diversity of arthropod on chili were 8 order 34 families with shannon index of 2.38 and simpsons index of 0.84 while on eggplant were 8 order and 32 families with shannon index of 2.58 and simpsons index of 0.89 the functional groups of arthropods on chili consisted of 14 families of herbivore and 20 families of nonherbivore while on eggplant there were 14 families of herbivore and 18 families of nonherbivore arthropods base on sorenson index the similarities of arthropods communities on chili and eggplant was 0.76 diversity and abundance of arthropods both on chili and eggplant was higher on 6 than 4 and 10 weeks after planting crop old total individual of herbivore arthropods was higher than nonherbivore,['S1'],,,2022,,,en,"Cabai dan terong adalah dua tanaman sayuran terkenal di Pringsewu Lampung dan praktik budidaya mereka secara intensif menggunakan pupuk anorganik multisan sintetis dan pestisida sintetis yang dapat mempengaruhi komunitas arthropoda tujuan penelitian ini adalah untuk mempelajari keragaman dan kelimpahan komunitas arthropoda yang dihuni tanaman kanopi dari CHILI FROM CHILIPASKeluarga dilakukan di Laboratorium Hama Plant University of Lampung Hasilnya menunjukkan bahwa kelimpahan arthropoda yang ditunjukkan oleh individu total yang ditangkap adalah 905 pada cabai dan 1399 pada terong masing -masing keanekaragaman artropoda pada cabai adalah 8 pesanan 34 keluarga dengan indeks Shannon dari dari Shannon2,38 dan indeks Simpsons 0,84 sedangkan terong adalah 8 pesanan dan 32 keluarga dengan indeks Shannon 2,58 dan indeks Simpsons 0,89 kelompok fungsional arthropoda pada cabai terdiri dari 14 keluarga herbivora dan 20 keluarga nonherbivora saat terong ada 14 keluargaArthropoda lebih tinggi dari nonherbivore"
1506,['FMIPA2'],analisis kandungan klorofil dan indeks stomata planlet anggrek dendrobium hasil induksi asam salisilat secara in vitro,this research was conducted to determine the effect of salicylic acid concentration on the chlorophyll content and plantlet characteristics of dendrobium orchids in vitro this study used a completely randomized design crd with salicylic acid treatment at concentrations of 0 ppm 25 ppm 50 ppm 75 ppm and 100 ppm with 5 replications for each concentration the research data were tested using analysis of variety at the 5% level and tukey s advanced test at the 5% level the results showed that there was an effect of salicylic acid on dendrobium orchid plantlets at concentrations of 75 ppm and 100 ppm on the stomata index chlorophyll a b and total analysis where the concentration of 75 ppm had the highest stomata index and on chlorophyll analysis the higher the concentration of induced salicylic acid the higher the chlorophyll content in dendrobium orchid plantlets meanwhile the concentrations of 25 and 50 ppm did not significantly affect the stomata index and chlorophyll analysis of dendrobium orchid plantlets,['Q1'],Analit: Analytical and Environmental Chemistry,Jurusan Kima FMIPA Unila,2022-10-25,,,en,"Penelitian ini dilakukan untuk menentukan efek konsentrasi asam salisilat pada kandungan klorofil dan karakteristik plantlet dari Dendrobium Orchids in Vitro Studi ini menggunakan desain CRD yang sepenuhnya acak dengan pengobatan asam salisilat pada konsentrasi 0 ppm 25 ppm 50 ppm 75 ppm dan 100 ppmDengan 5 replikasi untuk setiap konsentrasi, data penelitian diuji menggunakan analisis varietas pada level 5% dan uji lanjutan Tukey pada tingkat 5% hasil menunjukkan bahwa ada efek asam salisilat pada planlet anggrek dendrobium pada konsentrasi 75 ppm50 ppm tidak secara signifikan mempengaruhi indeks stomata dan analisis klorofil dari planlet anggrek dendrobium"
1507,['FP5'],pengaruh tutupan hutan dan lahan terhadap sektor petanian dalam perekonomian pendapatan daerah studi di provinsi lampung,deforestation and land cover changes are the upstream causal of the environmental performance and welfare namely starting from declining hydroorological functions increased microclimate fluctuations the emergence of shocks to the ecological balance declining agricultural yields declining incomes further suppressing economic growth in the agricultural sector which is generally followed by downstream sectors this research aimed at formulating a causal relationship between land covers and community income and determining the magnitude of the impact land cover classes changes in lampung province the research was conducted in may december 2020 the linear model postulate was applied at 5% and 10% significant levels with the response variable in the form of income from agricultural sector which was acquired from the bps website then optimization using minitab while the explanatory variables used are the proportion of land cover classes land and forest cover data were identified through the interpretation of landsat satellite imagery downloaded from the nasa website using arcgis and ecognition then validation tests carried out with field exploration of the land cover class the results of the research showed the relationship between the model equation rsq adj 77.9% and the impact that occurred in each land cover class for each 1% decrease changes in the area of state forests community forests plantations rice fields have an impact on decreasing the income of the agricultural sector respectively idr million 35.3 16.7 48.7 and 10.0 it suggest that conduct research on downstream economic activities such as inland fishery production hydropower industry and trade,['SD'],Ulin Jurnal Hutan Tropis,Fakultas Kehutanan Universitas Mulawarman,2022-03,,,en,Deforestasi dan perubahan tutupan lahan adalah penyebab hulu dari kinerja lingkungan dan kesejahteraan yaitu mulai dari penurunan fungsi hidroorologis meningkatkan fluktuasi iklim mikro. Munculnya guncangan hingga keseimbangan ekologis menurunnya hasil pertanian yang diikuti oleh pendapatan yang menurun lebih lanjut menekan pertumbuhan ekonomi di sektor agrani yang umumnya diikuti oleh pendapatan yang diikuti oleh sektor agrani yang umumnya diikuti oleh penindasan ekonomi di sektor agrani yang umumnya diikuti oleh agrani yang diikuti oleh agrani yang diikuti oleh agrini yang diikuti oleh agrini yang diikuti oleh agrani yang diikuti oleh agrani yang diikuti oleh agrani yang umumnya diikuti oleh agrani yang diikuti oleh agrani yang diikuti oleh agrini yang umumnya diikuti oleh sektor agrani yang umumnya diikuti oleh sektor agrisi yang bersifat agrani yang bersifat agrani yang bersifat agrini yang bersifat agrisi yang bersifat agrisi yang umumnya bersifat penindasan di sektor agrani yang umumnya bersifatsektor hilir penelitian ini bertujuan untuk merumuskan hubungan sebab akibat antara penutup lahan dan pendapatan masyarakat dan menentukan besarnya dampak kelas tutupan lahan perubahan di provinsi Lampung penelitian ini dilakukan pada Mei Desember 2020 Postulat model linier diterapkan pada 5% dan 10%Tingkat yang signifikan dengan variabel respons dalam bentuk pendapatan dari sektor pertanian yang diperoleh dari situs web BPS kemudian optimasi menggunakan minitab sedangkan variabel penjelas yang digunakan adalah proporsi kelas tutupan lahan data lahan dan tutupan hutan diidentifikasi melalui interpretasi satelit Landsat Satelit Landsat Landsat LandsatSetiap 1% mengurangi perubahan di bidang hutan negara bagian perkebunan hutan ladang sawah berdampak pada penurunan pendapatan sektor pertanian masing -masing IDR Million 35.3 16.7 48.7 dan 10.0 Ini menunjukkan bahwa melakukan penelitian pada kegiatan ekonomi hilir seperti hydropower produksi perikanan pedalaman.Industri dan Perdagangan
1508,['FEB4'],lembar hasil penilaian sejawat sebidang karya ilmiah jurnal akuntansi dan keuangan vol 27 no 1 2022 manajemen laba pada perbankan konvensional dan perbankan syariah,financial reporting using an accrual basis is preferred by conventional and islamic banking because it is considered rational and fair in reflecting the company s financial condition although it can also provide flexibility to management in choosing accounting methods for certain purposes or earnings management based on the previous literature review regarding earnings management in both conventional commercial banks and islamic commercial banks it is seen that the practice of earnings management is very likely to be carried out by managers as managers the purpose of this study was to identify and analyze the differences in earnings management by conventional commercial banks and islamic general banks the type of data source used in this study is secondary data derived from audited published financial reports on islamic commercial banks and conventional commercial banks registered with the financial services authority in indonesia during the research period from 2014 to 2019 this study uses earning management as a variable measured by the modified jones model from this research it can be concluded that there is a difference between the discretionary accrual ratio of conventional banks and the ratio of discretionary accruals of islamic banks where conventional banks are higher in earning management than islamic banks,"['H1', 'HC', 'HG']",,"Fakultas Ekonomi dan Bisnis, Universitas Lampung",2022-01-30,,,en,"Pelaporan keuangan menggunakan basis akrual lebih disukai oleh perbankan konvensional dan Islam karena dianggap rasional dan adil dalam mencerminkan kondisi keuangan perusahaan meskipun juga dapat memberikan fleksibilitas pada manajemen dalam memilih metode akuntansi untuk tujuan tertentu atau manajemen laba berdasarkan literatur sebelumnyaTinjauan tentang manajemen pendapatan di bank komersial konvensional dan bank komersial Islam terlihat bahwa praktik manajemen pendapatan sangat mungkin dilakukan oleh manajer sebagai manajer, tujuan penelitian ini adalah untuk mengidentifikasi dan menganalisis perbedaan dalam manajemen pendapatan dengan konvensionalBank Komersial dan Bank Umum Islam Jenis sumber data yang digunakan dalam penelitian ini adalah data sekunder yang berasal dari laporan keuangan yang dipublikasikan tentang bank komersial Islam dan bank komersial konvensional yang terdaftar di Otoritas Jasa Keuangan di Indonesia selama periode penelitian dari 2014 hingga 2019 studi inimenggunakan manajemen penghasilan sebagai variabel yang diukur dengan model Jones yang dimodifikasi dari penelitian ini dapat disimpulkan bahwa ada perbedaan antara rasio akrual diskresioner dari bank konvensional dan rasio akrual diskresioner dari bank -bank Islam di mana bank konvensional lebih tinggi dalam manajemen penghasilan daripada manajemen daripada manajemen daripada manajemen daripada manajemen yang lebih tinggi daripada manajemen daripada manajemen penghasilan daripada manajemen daripada bank konvensional di mana bank konvensional lebih tinggi daripada manajemen penghasilan lebih tinggi daripada manajemen daripada bank konvensional di mana bank konvensional lebih tinggi daripada bank konvensional lebih tinggi daripada manajemen di mana bank konvensional lebih tinggi daripada bank konvensional di mana lebih tinggi daripada bank konvensionalBank Islam"
1509,['FEB4'],lembar hasil penilaian sejawat sebidang karya ilmiah jurnal syntax transformation vol 3 no 2 2022 pengaruh komponen akrual dalam memprediksi arus kas aktivitas operasi di masa depan,this research aimed to give an empirical evidence about the influence of accrual components in predicting activity of operating future cash flow this research used 3 accrual components as the independent variables which were changes in receivable change in payable and changes in inventory the data used in this research was secondary data of financial statements of manufacturing companies which were registered in indonesian stock exchange in period 2015 2018 purposive sampling was used in this research and used multiple regression the results showed that changes in receivable significantly influenced activity of operating cash flow in the future while changes in payable and changes in inventory didn t influence activity of operating future cash flow changes in receivable changes in payable changes in inventory cash flow future cash flow accrual components,"['H1', 'HC', 'HJ']",,CV. Syntax Corporation Indonesia,2022-02-23,,,en,Penelitian ini bertujuan untuk memberikan bukti empiris tentang pengaruh komponen akrual dalam memprediksi aktivitas pengoperasian arus kas di masa depan. Penelitian ini menggunakan 3 komponen akrual sebagai variabel independen yang merupakan perubahan dalam perubahan piutang dalam hutang dan perubahan dalam inventaris data yang digunakan dalam penelitian iniadalah data sekunder dari laporan keuangan perusahaan manufaktur yang terdaftar di Bursa Efek Indonesia pada periode 2015 2018 Purposive Sampling digunakan dalam penelitian ini dan menggunakan regresi berganda. Hasilnya menunjukkan bahwa perubahan dalam piutang secara signifikan mempengaruhi aktivitas arus kas operasi di masa depan sementara perubahandalam hutang dan perubahan dalam inventaris tidak mempengaruhi aktivitas pengoperasian perubahan arus kas di masa depan dalam perubahan piutang dalam perubahan hutang dalam arus kas inventaris komponen akrual arus arus di masa depan
