,divisions,title,abstract,subjects,publication,publisher,date,keywords,keyword,lang,translation
0,['FT1'],determination of volcanic earthquake hypocenter on period 18 until 31 august 2017 case study of mount merapi yogyakarta indonesia,"indonesia became an area passed by the pacific ring of fire which was the meeting place of two active tectonic plates which caused indonesia to have many volcanoes one of them is mount merapi mount merapi is located on the border between central java and the special region of yogyakarta which is located at 7o32.5 ls and 110o26.5 w with an altitude of 2,978 diameters of 28 km an area of 300-400 km2 and a volume of 150 km3 merapi is a stratovolcanotype volcano with a cone shaped andesitebasaltic type of magma seismic method aims to find out more the characteristics of the volcano one indicator to see the early possibility of eruption is the occurrence of volcanic type earthquake vta which is then accompanied by the emergence of shallow volcanic type earthquake vtb volcanic earthquake data of mount merapi which can be as many as 5 volcanic earthquake events in the period of august 18 2017 to august 31 2017 hypocenter points obtained have varying depth at different times the accuracy of hyposenter points can be influenced by the picking results of the arrival time of the primary wave we can conclude that in the period august 18 2017 to august 31 2017 is a type of deep volcanic earthquake",['TN'],,,3018,,,en,"Indonesia menjadi daerah yang dilewati oleh Cincin Api Pasifik yang merupakan tempat pertemuan dua lempeng tektonik aktif yang menyebabkan Indonesia memiliki banyak gunung berapi salah satunya adalah Gunung Merapi Mount Merapi yang terletak di perbatasan antara Jawa Tengah dan wilayah khusus Yogyakartayang terletak di 7O32.5 LS dan 110O26.5 W dengan ketinggian 2.978 diameter 28 km, luas 300-400 km2 dan volume 150 km3 merapi adalah jenis gunung magma stratovolcanoType dengan kerucut jenis volcan magma seismik yang berbentuk kerucut dari AndesiteBasaltic yang berbentuk kerucutBanyak peristiwa gempa bumi gunung berapi pada periode 18 Agustus 2017 hingga 31 Agustus 2017 poin hypocenter yang diperoleh memiliki kedalaman yang berbeda pada waktu yang berbeda keakuratan poin hiposenter dapat dipengaruhi oleh hasil pemilihan waktu kedatangan gelombang utama yang dapat kita simpulkan bahwaPada periode 18 Agustus 2017 hingga 31 Agustus 2017 adalah jenis gempa bumi gunung berapi yang dalam"
1,['FKIP17'],pengaruh skill representasi matematis terhadap hasil belajar siswa menggunakan model discovery learning,the effect of mathematical representation skill learning outcomes using discovery learning model most of the student assume that physic is one of the difficulties and boring subjects because a lot of formulas and concepts of physics that should be memorized therefore this research aims to determine the effect of mathematical representation skill of learning outcomes using discovery learning model with newton s laws of motion as the main topic this research was conducted at sma negeri 2 pringsewu in the second semester of academic year 2016 2017 the samples were 35 students in class x mipa 1 the learning design was one shot case study design based on the results of simple linear regression test showed that there was a linear effect positive and significant correlation between skill to the mathematical representation of student learning outcomes using discovery learning model,['L1'],Jurnal Pembelajaran Fisika,Universitas Lampung,2107,,,en,Efek dari keterampilan representasi matematika hasil pembelajaran menggunakan model pembelajaran penemuan sebagian besar siswa berasumsi bahwa fisik adalah salah satu kesulitan dan mata pelajaran yang membosankan karena banyak formula dan konsep fisika yang harus dihafal oleh karena itu penelitian ini bertujuan untuk menentukan efek matematika matematika oleh karena itu penelitian ini bertujuan untuk menentukan efek matematika matematikaKeterampilan Representasi Hasil Belajar Menggunakan Model Pembelajaran Discovery dengan Newton's Laws of Motion sebagai topik utama Penelitian ini dilakukan di SMA Negeri 2 Pringsewu pada semester kedua tahun akademik 2016 2017 Sampel adalah 35 siswa di Kelas X MIPA 1 Desain Pembelajaranadalah desain studi kasus satu bidikan berdasarkan hasil tes regresi linier sederhana menunjukkan bahwa ada efek linier yang positif dan korelasi yang signifikan antara keterampilan dengan representasi matematika dari hasil pembelajaran siswa menggunakan model pembelajaran penemuan
2,['FH2'],principles of islamic sharia economic law in facing the challenges of global competition,hasil check similarity,['K1'],American Journal of Humanities and Social Sciences Research (AJHSSR),AJHSSR,2023,,,en,HASIL Periksa kesamaan
3,['FKIP17'],impacts of integrating engineering design process into stem makerspace on renewable energy unit to foster students system thinking skills,currently science education systems around the world are faced with global challenges especially in anticipating environmental changes related to sustainable development programs complex system problems related to climate change reduced fossilbased energy reserves and social environmental problems that have an impact on the economy have made stakeholders aware of the education for sustainability development esd program this study aims to examine the effectiveness of stempbl integrated engineering design process edp in renewable energy learning units to improve students system thinking skills the quantitative experimental research with a nonequivalent control group design was conducted on 67 high school students in xi grades the results showed that the performance of students who were taught with stemedp was better than students who studied with traditional stem learning approach in addition this learning strategy also encourages students to be actively involved in every edp process so that they show good performance in mindon and handson activities which have an impact on increasing students system thinking abilities furthermore the stemedp learning is implemented to develop students ability to design through applied technology and engineered activities paying special attention to designbased theory it does not require students and teachers to prepare supersophisticated technology because the integration of technology in this learning design used cheap simple and easy to find equipments to create more meaningful learning packages in the critical pedagogy stempbl integrated edp can be used to systematically foster students stem literacy and thinking skills through the engineering design thinking process thus expanding students cognitive building and perspectives in reducing the routine in conventional pedagogy,['L1'],Heliyon,ELSEVIER,2023-04-01,,,en,"Saat ini sistem pendidikan sains di seluruh dunia dihadapkan dengan tantangan global terutama dalam mengantisipasi perubahan lingkungan yang terkait dengan program pembangunan berkelanjutan masalah sistem kompleks terkait dengan perubahan iklim mengurangi cadangan energi berbasis fosil dan masalah lingkungan sosial yang berdampak pada ekonomi telah membuat para pemangku kepentingan sadar akan hal tersebutPendidikan untuk Pengembangan Keberlanjutan ESD Program Penelitian ini bertujuan untuk menguji efektivitas proses desain teknik terintegrasi stempbl EDP dalam unit pembelajaran energi terbarukan untuk meningkatkan keterampilan pemikiran sistem siswa. Penelitian eksperimental kuantitatif dengan desain kelompok kontrol yang tidak ada dilakukan pada 67 siswa sekolah menengah di XIKelas Hasilnya menunjukkan bahwa kinerja siswa yang diajar dengan StemEdp lebih baik daripada siswa yang belajar dengan pendekatan pembelajaran STEM tradisional selain strategi pembelajaran ini juga mendorong siswa untuk terlibat aktif dalam setiap proses EDP sehingga mereka menunjukkan kinerja yang baik di Mindon danKegiatan Handson yang berdampak pada peningkatan kemampuan berpikir sistem siswa yang lebih jauh lagi, pembelajaran Stemedp diimplementasikan untuk mengembangkan kemampuan siswa untuk merancang melalui teknologi terapan dan kegiatan rekayasa yang memperhatikan teori berbasis desain yang tidak mengharuskan siswa dan guru untuk mempersiapkan teknologi supersofistik karena integrasi tersebutTeknologi dalam desain pembelajaran ini menggunakan peralatan yang murah dan mudah ditemukan murah untuk membuat paket pembelajaran yang lebih bermakna dalam pedagogi kritis Stempbl terintegrasi EDP dapat digunakan untuk secara sistematis menumbuhkan siswa STEM literasi dan keterampilan berpikir melalui proses pemikiran desain teknik sehingga memperluas bangunan kognitif siswa kognitif siswa memperluas siswa siswa kognitif siswa siswa siswadan perspektif dalam mengurangi rutin dalam pedagogi konvensional"
4,,assessing willingness to pay for improved water services from forest area in bayas jaya village lampung province,"one of the important functions of the forest is to provide water to the community improvement of water services from forest areas requires the community s participation this study aims at 1 identifying the community s willingness to pay for improved water services and 2 determining factors affecting the community s willingness to pay this study is located in bayas jaya villages and the upland area of kedondong subdistrict pesawaran district lampung province the study interviewed 75 farmers of 3 water services management i e 1 independent 2 pamsimas and 3 pdam each management water service was represented by 25 members who were randomly selected objective one is analyzed using descriptive analysis and objective twoisanalyzedusingaregressionanalysismodel thestudysuggeststhat onaveragecommunity received 10,6m3 per day which is far higher than their daily consumed i e 460 l per day however water surplus is not optimized as they are drained to the local sewer further 56% of the community is willing to pay should water services be improved the average willingness to pay is rp 440,357.14 annually per family factors affecting the community s willingness to pay include 1 the pdam model 2 the pamsimas model 3 age and 4 daily water discharge to family",['S1'],4th International Conference in Agroforestry 2022,IOP Conf. Series: Earth and Environmental Science,2023-02-01,,,en,"Salah satu fungsi penting dari hutan adalah untuk menyediakan air bagi perbaikan masyarakat dari layanan air dari kawasan hutan mensyaratkan partisipasi masyarakat yang diteliti oleh penelitian ini untuk 1 mengidentifikasi kesediaan masyarakat untuk membayar layanan air yang lebih baik dan 2 faktor penentu yang mempengaruhi masyarakatKesediaan untuk membayar penelitian ini terletak di desa -desa Bayas Jaya dan daerah dataran tinggi distrik Kedondong Pesawaran Lampung Provinsi Studi ini mewawancarai 75 petani dari 3 Manajemen Layanan Air I E 1 2 Pamsimas Independen dan 3 PDAM Setiap Layanan Air Manajemen diwakili oleh 25 anggotaSiapa yang dipilih secara acak, satu dianalisis dengan menggunakan analisis deskriptif dan tujuan dua analisis yang dianegsian nalysismodel thestudysuggestwy -fommunity menerima 10,6m3 per hari yang jauh lebih tinggi dari harian mereka.56% dari masyarakat bersedia membayar jika layanan air ditingkatkan. Kesediaan rata -rata untuk membayar adalah Rp 440.357,14 per tahun per faktor keluarga yang mempengaruhi kesediaan masyarakat untuk membayar termasuk 1 model PDAM 2 Pamsimas Model 3 usia dan 4 pelepasan air harian harian untukkeluarga"
5,['FP1'],similarity test iop conference 2023 assessing willingness to pay zainal irwan dan dame,similarity test artikel assessing willingness to pay for improved water services zainal irwan dan dame,['S1'],,IOP Conf. Series: Earth and Environmental Science,2023-02,,,en,Uji Kesamaan Artikel yang menilai kemauan untuk membayar layanan air yang lebih baik Zainal Irwan Dan Dame
6,['FP3'],identification and predictive bioconversion of cholesterol to estran and androst hormones from scalloped spiny lobster panulirus homarus gonads,"steroidal hormones process from gonadal maturation of scalloped spiny lobster panulirus homarus not established due to undeveloped practice of hatchery technology two steroid hormones i e estran and androst were elucidated previously and involved on gonadal maturation of scalloped spiny lobster this study aimed to identified and evaluate role of cholesterol as raw material of estran and androst hormones eighteen individuals of immature and mature female scalloped spiny lobster gonads were used and analysed with pyrolysis gas chromatography mass spectrometry pygcms results found that cholesta-8,24dien-3ol 4methyl-3ß-4α c28h46o with molecular weight 368 assumed as raw materials for estran and androst hormones scalloped spiny lobster may process the enzymatic systems that able to catalysed the bioconversion of cholesta-8,24dien-3ol 4methyl-3ß-4α to estran and androst hormones","['Q1', 'QL']","International Advanced Research Journal in Science, Engineering and Technology",,2023,,,en,"Sebagai bahan baku hormon estran dan androst, delapan belas orang dari gonad lobster berduri yang belum matang dan dewasa digunakan dan dianalisis dengan pygcms massa kromatografi pirolisis pirolisis, pygcms, menemukan bahwa bobot bobot kolekular-24dien-3ol 4methyl-3ß-4α C28H4 £ C28H4 uap.Diasumsikan sebagai bahan baku untuk hormon estran dan androst lobster berduri dapat memproses sistem enzimatik yang mampu mengkatalisis biokonversi kolesta-8,24dien-3ol 4methyl-3ß-4α menjadi estran dan hormon androst"
7,['FH3'],free verdict against executors of illegal fees as corruption crimes,illegal levies are the designation of all forms of levies that are unofficial which have no legal basis so the act of levies is referred to as illegal levies one of the criminal acts of corruption that occurs in people s lives is illegal fees an example of a criminal case of illegal fees is the case in decision number 46 pid sustpk 2018 pn tjk in that case the defendant was acquitted judging from the judge s decision that acquitted the defendant the authors conducted research on the identification of illegal fees as a criminal act of corruption and what was the basis for the considerations of the panel of judges in passing an acquittal in cases of criminal acts of corruption based on decision number 46 pid sustpk 2018 pn tjk the problem with this research is the identification of extortion as a criminal act of corruption and what are the basic considerations of the panel of judges in passing an acquittal in a corruption case based on decision number 46 pid sus tpk 2018 pn tjk the research method used is normative juridical research method sources of primary and secondary legal materials from this study it can be concluded that illegal fees can be categorized as a criminal act of corruption this action is submitted marrch 20 2023 reviewed march 30 2023 accepted april 6 2023 free verdict against agnesia mutiara sani 1 maya shafira 2 ahmad irzal fardiansyah3 14 regulated in article 12 letter e of law number 31 of 1999 which has been amended and added to law number 20 of 2001 concerning eradication of corruption crimes that the basis for the judge s considerations in deciding that the corruption case was free of decision number 46 pid sustpk 2018 pn tjk defendant did not meet the elements of benefiting oneself or others and the element of receiving gifts or promises as charged in the alternative indictment by the public prosecutor so that the defendant is not legally and convincingly proven guilty of committing a criminal act of corruption corruption free verdict illegal fees,['K1'],CORRUPTIO,"Fakultas Hukum, Universitas Lampung, Bandar Lampung, Lampung, Indonesia.",2023-03,,,en,Tungai ilegal adalah penunjukan dari semua bentuk pungutan yang tidak resmi yang tidak memiliki dasar hukum sehingga tindakan pungutan disebut sebagai pungutan ilegal salah satu tindakan kriminal korupsi yang terjadi dalam kehidupan orang adalah biaya ilegal contoh dari pidana kriminalKasus Biaya Ilegal adalah kasus dalam keputusan nomor 46 PID SustPK 2018 PN TJK dalam kasus itu terdakwa dibebaskan menilai dari keputusan hakim yang membebaskan terdakwa penulis melakukan penelitian tentang identifikasi biaya ilegal sebagai tindakan kriminal korupsi dan pidana dan dan pidana dan kriminal dan kriminal dan kriminal dan kriminal dan kriminal dan kriminal dan kriminal dan kriminal dan kriminal dan kriminal dan kriminal kriminal dan kriminal dan kriminal dan kriminal kriminal dan kriminal dan kriminal dan kriminal kriminal dan kriminal dan kriminal melakukan kriminalApa pertimbangan dasar dari panel juri dalam meloloskan pembebasan dalam kasus korupsi berdasarkan nomor keputusan 46 PID SUS TPK 2018 PN TJK Metode penelitian yang digunakan adalah sumber penelitian normatif metode penelitian primer dan sekunder dari penelitian ini yang dapat ia dapatdisimpulkan bahwa biaya ilegal dapat dikategorikan sebagai tindakan kriminal korupsi ini diajukan Marrch 20 2023 ditinjau 30 Maret 2023 diterima 6 April 2023 Vonis gratis terhadap Agnesia mutiara Sani 1 Maya Shafira 2 Ahmad irzal fardiansyah3 14 Regulasi dalam artikel 12 huruf e OfHukum Nomor 31 tahun 1999 yang telah diubah dan ditambahkan ke undang -undang nomor 20 tahun 2001 tentang pemberantasan kejahatan korupsi bahwa dasar untuk pertimbangan hakim dalam memutuskan bahwa kasus korupsi bebas dari keputusan nomor 46 PID Sustpk 2018 PN TJK terdakwa tidakTemui unsur -unsur menguntungkan diri sendiri atau orang lain dan unsur menerima hadiah atau janji sebagaimana dituduh dalam dakwaan alternatif oleh penuntut umum sehingga terdakwa tidak secara hukum dan meyakinkan terbukti bersalah karena melakukan tindakan kriminal korupsi korupsi bebas vonis biaya ilegal bebas vonis ilegal biaya ilegal gratis
8,['FKIP21'],teachers perception toward electronic student worksheet based on chiken manure waste treatment projects to improve students creative thinking skills,abstract the objective of this research was to investigate the science teachers perception toward eworksheet based on chiken manure waste treatment projects to improve students creative thinking skills the method used in this research is mixed methods with sequential explanatory design the data was collected through questionnaire then analyzed by using descriptive analysis the questionnaires were distributed to 14 science teacher respondents and 127 junior high school students in north metro district the result shows that teacher have a positive perception toward usage of the electronic students worksheets based on chiken manure waste treatment projects the results showed that 79% of teachers had not used projectbased e worksheets based on students response questionnaires 37% of teachers have given project assignments but the projects were not based on real problems in the environment environmental problems that occur in north metro district is the amount of chicken manure waste issue that causes pollution to the environment around society s houses the current worksheets has not completely train students creative thinking skills and that s skills was in low category based on the result it can be concluded that a eworksheet based on chiken manure waste treatment projects is needed to improve students creative thinking skills,['LB1603'],Jurnal Penelitian Pendidikan IPA (JPPIPA),Universitas Mataram,2023,,,en,"Menggunakan analisis deskriptif Kuesioner didistribusikan kepada 14 responden guru sains dan 127 siswa sekolah menengah pertama di Distrik Metro Utara Hasilnya menunjukkan bahwa guru memiliki persepsi positif terhadap penggunaan lembar kerja siswa elektronik berdasarkan proyek pengolahan limbah pupuk chiken hasil menunjukkan bahwa 79% guru belum menggunakan lembar kerja E berbasis proyek berdasarkan kuesioner respons siswa, 37% guru telah memberikan tugas proyek tetapi proyek tidak didasarkan pada masalah nyata dalam masalah lingkungan yang terjadi di distrik metro utara adalah jumlah masalah limbah ayam ayamItu menyebabkan polusi terhadap lingkungan di sekitar rumah masyarakat, lembar kerja saat ini belum sepenuhnya melatih siswa keterampilan berpikir kreatif dan bahwa keterampilan S dalam kategori rendah berdasarkan hasil dapat disimpulkan bahwa lembar kerja yang didasarkan pada proyek pengolahan limbah pupuk chiken diperlukanmeningkatkan keterampilan berpikir kreatif siswa"
9,['FEB6'],strategic decisionmaking on mining sector company stock prices and economic variable state space model application,energy sector is not excluded from the recession in global economics however one can be stable during such outbreak was gold prices which showed incredible stable prices and relatively increasing that also affected on daily stock prices for the gold producing companies such as pt aneka tambang issuer code antm that showed conversely increasing than other mining sector companies this study aims to investigate causal relationships between antm stock prices and indonesian exchange rates in order to have strategic decisionmaking for investors by employing state space model and to provide forecasting daily data for both variables the study found that the state space model confirmed their dynamic relationship in which antm was not only affected by itself but also by the movement of exchange rates the forecasting graphs then provide the insight of strategic decisionmaking for investors to strongly invest on goldbased company as they have an increasing projection for the next 20 days,"['HB', 'HG']",International Journal of Energy Economics and Policy,EconJournals,2023-05-17,"State Space Model, Strategic Decision-Making, Mining Sector, Gold-based Company, Exchange Rates",,en,Sektor energi tidak dikecualikan dari resesi di bidang ekonomi global namun orang dapat stabil selama wabah tersebut adalah harga emas yang menunjukkan harga stabil yang luar biasa dan relatif kenaikan yang juga terpengaruh pada harga saham harian untuk perusahaan penghasil emas seperti penerbit PT Aneka Tambang Kode ANTM AntmItu menunjukkan meningkatnya meningkat daripada perusahaan sektor pertambangan lainnya yang diteliti ini bertujuan untuk menyelidiki hubungan sebab akibat antara harga saham ANTM dan nilai tukar Indonesia untuk memiliki pengambilan keputusan strategis bagi investor dengan menggunakan model ruang angkasa negara dan untuk menyediakan data harian yang meramalkan untuk kedua variabel yang ditemukan bahwa studi ini menemukan bahwaModel luar angkasa negara mengkonfirmasi hubungan dinamis mereka di mana ANTM tidak hanya terpengaruh oleh dirinya sendiri tetapi juga oleh pergerakan nilai tukar grafik peramalan kemudian memberikan wawasan pengambilan keputusan strategis bagi investor untuk berinvestasi dengan kuat pada perusahaan berbasis emas karena mereka memiliki proyeksi yang meningkat untuk yang meningkat untuk20 hari berikutnya
