,Unnamed: 0,divisions,title,abstract,subjects,publication,publisher,date,keywords,keyword,lang,translation
11500,11500,['FMIPA5'],development of botanical insecticide from flavonoid of compound leaf extract gliricidia maculata to control coffee mealybug planacoccus citri,"coffee is an important commodity in indonesia its production continues to decrease from year to year one of important pest is the mealybug planococcus citri the production lost due to a severe attack can reach 90% farmers still using synthetic insecticides to control the pest which have negative effect on the environment and humans buying to reduce its necessary to find the environment friendly insecticides botanical insecticide one of the plant can be used as botanical insecticide is gliricidia maculata the purpose of the study to obtain flavonoid compound from polar extract water and methanol of g maculata leaves as botanical insecticide throught out isolation and purification to compare the effective concentration of the flavonoid compounds from polar extract water and methanol of powder leaveas g maculata on mortality coffee mealybug a set of laboratory experiment was conducted by using block design water and methanol extracs we and me with 5 levels concentration i e 0% 0.01% 0.02% 0.03% and 0.04% and 3 replications mealybug mortality observed at 12 24 48 72 hours after treatment analisys probit were used for determine lc50 values anova and tukey s test was used to determine an effective formula botanical insecticide the results showed that the polar extract water and methanol gliricidia leaves contains flavonoids that act as insecticides against coffee mealybug p citri with lc50 72 hours water extract 0,033% and metanol extract 0,039% keywords botanical insecticide flavonoids powder leaves gliricidia maculata coffee mealybug planococcus citri",['QL'],,,2016-10,,,en,"coffee is an important commodity in indonesia its production continues to decrease from year to year one of important pest is the mealybug planococcus citri the production lost due to a severe attack can reach 90% farmers still using synthetic insecticides to control the pest which have negative effect on the environment and humans buying to reduce its necessary to find the environment friendly insecticides botanical insecticide one of the plant can be used as botanical insecticide is gliricidia maculata the purpose of the study to obtain flavonoid compound from polar extract water and methanol of g maculata leaves as botanical insecticide throught out isolation and purification to compare the effective concentration of the flavonoid compounds from polar extract water and methanol of powder leaveas g maculata on mortality coffee mealybug a set of laboratory experiment was conducted by using block design water and methanol extracs we and me with 5 levels concentration i e 0% 0.01% 0.02% 0.03% and 0.04% and 3 replications mealybug mortality observed at 12 24 48 72 hours after treatment analisys probit were used for determine lc50 values anova and tukey s test was used to determine an effective formula botanical insecticide the results showed that the polar extract water and methanol gliricidia leaves contains flavonoids that act as insecticides against coffee mealybug p citri with lc50 72 hours water extract 0,033% and metanol extract 0,039% keywords botanical insecticide flavonoids powder leaves gliricidia maculata coffee mealybug planococcus citri"
11501,11501,['FMIPA5'],the toxicity of purified isolate of polar extract powder leafs gliricidia maculata hbr to cacao mealybug planococcus minor maskell,"one contributing factor in decreasing productivity of cocoa in the last years is due to pest attack cacao mealybug p minor attack the young cacao fruits by sucking them until dry and die therefore it should be controlled alternatives pest control of the insecticide has been widely searched g maculata leaves consist of rich flavonoid that potencial as botanical insecticide in oder to get the purified isolate of polar extract pouder leaf g maculata that named pigr and test its toxicity to cacao mealybug p minor the powder leaf of g maculata were extracted by using various organic solvents nhexane dichloromethane methanol and water a set of laboratory experiment was conducted to test the toxicity by bioassay and to know the type and structure of pigr by spectroscopic analysis five different concentrations 0% 0,015% 0,030% 0,045% and 0,060% of pigr with each of 3 replications were tested to cacao mealybug mortality mortality observed at 12 24 48 and 72 hours after treatment probit analysis was conducted to obtain lc 50 the result indicated the pigr was toxic to cacao mealybug p minor with lc50 72 hours metanol extract 0,054% and water extract 0,047% therefore water extract more toxic than metanol extract the toxic compound of methanol extract and water extract g maculata is flavon with the structural frame is 2 phenyl -1,4 benzopiron keywords polar extract powder leaf cacao maelybug flavon",['QL'],,,2016-10,,,en,"one contributing factor in decreasing productivity of cocoa in the last years is due to pest attack cacao mealybug p minor attack the young cacao fruits by sucking them until dry and die therefore it should be controlled alternatives pest control of the insecticide has been widely searched g maculata leaves consist of rich flavonoid that potencial as botanical insecticide in oder to get the purified isolate of polar extract pouder leaf g maculata that named pigr and test its toxicity to cacao mealybug p minor the powder leaf of g maculata were extracted by using various organic solvents nhexane dichloromethane methanol and water a set of laboratory experiment was conducted to test the toxicity by bioassay and to know the type and structure of pigr by spectroscopic analysis five different concentrations 0% 0,015% 0,030% 0,045% and 0,060% of pigr with each of 3 replications were tested to cacao mealybug mortality mortality observed at 12 24 48 and 72 hours after treatment probit analysis was conducted to obtain lc 50 the result indicated the pigr was toxic to cacao mealybug p minor with lc50 72 hours metanol extract 0,054% and water extract 0,047% therefore water extract more toxic than metanol extract the toxic compound of methanol extract and water extract g maculata is flavon with the structural frame is 2 phenyl -1,4 benzopiron keywords polar extract powder leaf cacao maelybug flavon"
11502,11502,['FMIPA2'],fetal skeleton development of mice mus musculusl threatedwithnutgrass cyperus rotundus extract,"research on medical herbs have been done since the information related with their safetinesscan not be guaranted results of this researchare used to reduce side effect ofmedical herbs without clinical analysis of its benefits for human the nuttgrass cyperusrotundusl grows wildly in many places can be used to treat high blood pressure breasttumors candida colds flu and helps treat convulsions moodiness and depression premenstrual syndrome pms and the pain and cramps associated with pms menopause and antiestrogenic effects this herb contains a volatile oil with bpinene cyperene acyperone bcyperone and acyperol as its main ingredients it also contains alkaloids flavonoids triterpenes etc the aims of this research were to determine the effects ofnuttgrass cyperus rotundusl given orally to pregnant mice mus musculus l duringorganogenesis fase to skeleton development anatomically and histologically by usingstructure of epifisialis cartilago as indicator research has been conducted using completerandomized design twenty pregnantmices were devide into 4 groups a control with 0,4ml aquabides b 4,5 mg 40grbbnuttgrass extract in0,4 ml aquabides c 45 mg 40grbbnuttgrass extract in 0,4 ml aquabides d 135 mg 40grbb nuttgrass extract in 0,4 mlaquabides datawere analized withanalysisof variance anova to find the differencesof each treatment if there were significant differences least significant differences5% willbe done the result showed that nuttgrass extract given orally to pregnant mices did notcause malformations to fetal mice it reduces fetal body weight and length in addition itgave effect onchanging the histological structure of fetal epifisialis tibia by reducing thethickness of proliferation zone maturation zone cartilage zone during mineralizationprocesses",['Q1'],Conference Proceedings,USR INTERNATIONAL SEMINAR ON FOOD SECURITY,2016-08-24,,,en,"research on medical herbs have been done since the information related with their safetinesscan not be guaranted results of this researchare used to reduce side effect ofmedical herbs without clinical analysis of its benefits for human the nuttgrass cyperusrotundusl grows wildly in many places can be used to treat high blood pressure breasttumors candida colds flu and helps treat convulsions moodiness and depression premenstrual syndrome pms and the pain and cramps associated with pms menopause and antiestrogenic effects this herb contains a volatile oil with bpinene cyperene acyperone bcyperone and acyperol as its main ingredients it also contains alkaloids flavonoids triterpenes etc the aims of this research were to determine the effects ofnuttgrass cyperus rotundusl given orally to pregnant mice mus musculus l duringorganogenesis fase to skeleton development anatomically and histologically by usingstructure of epifisialis cartilago as indicator research has been conducted using completerandomized design twenty pregnantmices were devide into 4 groups a control with 0,4ml aquabides b 4,5 mg 40grbbnuttgrass extract in0,4 ml aquabides c 45 mg 40grbbnuttgrass extract in 0,4 ml aquabides d 135 mg 40grbb nuttgrass extract in 0,4 mlaquabides datawere analized withanalysisof variance anova to find the differencesof each treatment if there were significant differences least significant differences5% willbe done the result showed that nuttgrass extract given orally to pregnant mices did notcause malformations to fetal mice it reduces fetal body weight and length in addition itgave effect onchanging the histological structure of fetal epifisialis tibia by reducing thethickness of proliferation zone maturation zone cartilage zone during mineralizationprocesses"
11503,11503,['FKIP17'],pengaruh penggunaan bahan ajar fisika berbasis inkuiri terbimbing terhadap kemampuan berpikir kritis,the influence of using of teaching materials physics based on guided inquiry ability to the critical thinking this study was conducted to determine the influence of using of teaching materials physicsbased on guided inquiry ability the students critical thinking skills the study design used is quassy experimental design kind of pretestposttest control group design mechanical analysis of data from students critical thinking skills using a test independent sample t test in this study using a sample of two classes namely the experimental class learning with physics teaching materials and classroombased guided inquiry learning control using a conventional book the results showed that there is significant influence from the use of teaching materials physicsbased guided inquiry on the results of students critical thinking skills can be seen from the increase in the average value of the results of critical thinking skills in experimental class is higher than the control class,['L1'],Jurnal Pembelajaran Fisika,Universitas Lampung,2016,,,en,the influence of using of teaching materials physics based on guided inquiry ability to the critical thinking this study was conducted to determine the influence of using of teaching materials physicsbased on guided inquiry ability the students critical thinking skills the study design used is quassy experimental design kind of pretestposttest control group design mechanical analysis of data from students critical thinking skills using a test independent sample t test in this study using a sample of two classes namely the experimental class learning with physics teaching materials and classroombased guided inquiry learning control using a conventional book the results showed that there is significant influence from the use of teaching materials physicsbased guided inquiry on the results of students critical thinking skills can be seen from the increase in the average value of the results of critical thinking skills in experimental class is higher than the control class
11504,11504,['FMIPA2'],in vitro selection on fusaric acid of spathoglottis plicata bl plantlets for obtaining a resistant cultivar toward to fusarium oxysporum,"the most production constraints on spathoglottis plicata bl cultivation one of them caused by fusarium wilt disease this disease is caused by fusarium oxysporum fo and until now still can not be effectively addressed the use of fo resistant cultivars orchid soil with high yield expected is an important alternative disease control a resistant s plicata plantlet to fo has been initiated by in vitro selection on vacin went vw medium containing fusaric acid fa on selective concentration the goals of research were to study and determine of the fa concentration of plantlet selection tolerant to steady growth the selection produces s plicata were insensitive to the fa in vitro regenerated s plicata plantlet has done by using shoot tip explants cultivated on the vw medium containing bap on the concentration is 1,0 mg l plantlet was selected with fa supplementation to vw solid medium in different concentration 0 10 20 30 and 40 ppm for 4 weeks the resistance was evaluated to plantlet of one month old after which was inoculated by fo results showed that the fa tolerant concentration for plantlet selection with s plicata steady growth is between 10-40 ppm the selection produces plantlets s plicata amount equal to 100% 10-30 ppm and 86.7% 40 ppm were insensitive to the fa",['QK'],BKS-PTN Wilayah Barat Semirata 2016 Bidang MIPA Semirata 2016 Bidang MIPA Semirata 2016 Bidang MIPA,UNSRI,2016-05-22,,,en,"the most production constraints on spathoglottis plicata bl cultivation one of them caused by fusarium wilt disease this disease is caused by fusarium oxysporum fo and until now still can not be effectively addressed the use of fo resistant cultivars orchid soil with high yield expected is an important alternative disease control a resistant s plicata plantlet to fo has been initiated by in vitro selection on vacin went vw medium containing fusaric acid fa on selective concentration the goals of research were to study and determine of the fa concentration of plantlet selection tolerant to steady growth the selection produces s plicata were insensitive to the fa in vitro regenerated s plicata plantlet has done by using shoot tip explants cultivated on the vw medium containing bap on the concentration is 1,0 mg l plantlet was selected with fa supplementation to vw solid medium in different concentration 0 10 20 30 and 40 ppm for 4 weeks the resistance was evaluated to plantlet of one month old after which was inoculated by fo results showed that the fa tolerant concentration for plantlet selection with s plicata steady growth is between 10-40 ppm the selection produces plantlets s plicata amount equal to 100% 10-30 ppm and 86.7% 40 ppm were insensitive to the fa"
11505,11505,['FMIPA2'],the protein profile of the plantlets of spathoglottis plicata bl induced resistance to fusarium oxysporum,ground orchid spathoglottis plicata cultivated have many constraints such as the appearance of fusarium wilt disease caused by fusarium oxysporum fo a resistant s plicata plantlet to fo has been initiated by in vitro selection on vacin and went vw medium containing fusaric acid fa at concentrations of 10 ppm 20 ppm 30 ppm and 40 ppm compared with controls 0 ppm and there were indications of fa tolerant of the selected plantlets this study aims to describe the formation mechanism of induced resistance by analysing the protein profile of the plantlet the protein profile was analysed by sdspage methods the results showed that protein profiles of explants leaves was significantly different from the control there was an initiation of a new protein bands 19 kd indicating the formation of prprotein peroxidase on the plantlets which responsible for s plicataresistant to fo,['Q1'],Journal of Plant Sciences,Science Publishing Group,2016-08-21,"Protein Profile, Spathoglottis plicata Bl., In Vitro, Induced Resistance, Fusarium oxysporum",,en,ground orchid spathoglottis plicata cultivated have many constraints such as the appearance of fusarium wilt disease caused by fusarium oxysporum fo a resistant s plicata plantlet to fo has been initiated by in vitro selection on vacin and went vw medium containing fusaric acid fa at concentrations of 10 ppm 20 ppm 30 ppm and 40 ppm compared with controls 0 ppm and there were indications of fa tolerant of the selected plantlets this study aims to describe the formation mechanism of induced resistance by analysing the protein profile of the plantlet the protein profile was analysed by sdspage methods the results showed that protein profiles of explants leaves was significantly different from the control there was an initiation of a new protein bands 19 kd indicating the formation of prprotein peroxidase on the plantlets which responsible for s plicataresistant to fo
11506,11506,['FMIPA2'],induce resistance of spathoglottis plicata bl toward to fusarium oxysporum,spathoglottis plicata attracts many people as an ornamental plant for parks offices and housing complexes in urban areas the most production constrain on ground orchid spathoglottis plicatabl plantation recently has been caused by fusarium wilt caused by fusarium oxysporum and untilnow still can not be solved effectively in general indonesian farmers cope with fusarium wilt disease by using pesticides that often cause environmental pollution while orchids are always physically close to the fans therefore it should be an effective and environmentally friendly alternative one of the most secure and efficient alternative diseases control for environment is by using resistant varieties ground orchid plantlets that are resistant to fo have been selected by in vitro selection on vacin went vw medium containing fusaric acid fa at different concentrations the objectives of this research was to determine resistance criteria of s plicata plantlet that was induced by fusaric acid on f oxysporum infection through in vitro selection this research was conducted at in vitro laboratory of dept of biology faculty of mathematics and natural of science university of lampung bandar lampung indonesia the research was compiled by using completely randomized design crd with one factor that is fa consisting of 5 levels 0 ppm 10 ppm 20 ppm 30 ppm and 40 ppm on wv medium data analysis used anova analysis of varian at significance level 5% and a further test with lsd least significant difference at the significance level 5% the result showed that the resistance criteria of s plicata plantlet on day 28 0 ppm was control and 10 ppm was susceptible at 20 ppm and 30 ppm its resistance criteria were moderate at concentration of 40 ppm its resistance criteria was resistant,['Q1'],,,2016-10,,"['spathoglottis plicata', 'fusarium oxysporum', 'induced resistance', 'fusarium wilt', 'fusaric acid']",en,spathoglottis plicata attracts many people as an ornamental plant for parks offices and housing complexes in urban areas the most production constrain on ground orchid spathoglottis plicatabl plantation recently has been caused by fusarium wilt caused by fusarium oxysporum and untilnow still can not be solved effectively in general indonesian farmers cope with fusarium wilt disease by using pesticides that often cause environmental pollution while orchids are always physically close to the fans therefore it should be an effective and environmentally friendly alternative one of the most secure and efficient alternative diseases control for environment is by using resistant varieties ground orchid plantlets that are resistant to fo have been selected by in vitro selection on vacin went vw medium containing fusaric acid fa at different concentrations the objectives of this research was to determine resistance criteria of s plicata plantlet that was induced by fusaric acid on f oxysporum infection through in vitro selection this research was conducted at in vitro laboratory of dept of biology faculty of mathematics and natural of science university of lampung bandar lampung indonesia the research was compiled by using completely randomized design crd with one factor that is fa consisting of 5 levels 0 ppm 10 ppm 20 ppm 30 ppm and 40 ppm on wv medium data analysis used anova analysis of varian at significance level 5% and a further test with lsd least significant difference at the significance level 5% the result showed that the resistance criteria of s plicata plantlet on day 28 0 ppm was control and 10 ppm was susceptible at 20 ppm and 30 ppm its resistance criteria were moderate at concentration of 40 ppm its resistance criteria was resistant
11507,11507,['FMIPA2'],analysis of peroxidase activity and total phenol from spathoglottis plicata bl plantlet toward to fusarium oxysporum,ground orchid spathoglottis plicata bl is an ornamental plant widely appreciated by the public because it has a beautiful shape colour and flower formation one of trigger decrease of s plicata production caused by fusarium wilt which is caused the fusarium oxysporum using resistant s plicata cultivars are expected to be an alternative to control the disease a resistant s plicatta plantlet to fo has been initiated by in vitro selection on medium countaining fusaric acid on different concentrations this study aims to determine the peroxidase activity and total phenol of s plicata plantlet research conducted at the in vitro laboratory department of biology faculty of mathematics and natural of sciences university of lampung the study design was completely randomized data analyzed using analysis of variance and if significantly different followed by least significant difference lsd test 5% significance level the results showed that increasing the concentration of fusaric acid it also increases the peroxidase enzyme activity and total phenol in plantlet that resistant to f oxysporum at a concentration of 40 ppm peroxidase activity and the highest total phenol content are 0.536 unit mg second and 10.33%,['Q1'],International Journal of Applied Agricultural Sciences,Science Publishing Group,2016-10-14,"Spathoglottis plicata, Induced Resistance, Fusarium oxysporum, Peroxidase Activity, Total Phenol",,en,ground orchid spathoglottis plicata bl is an ornamental plant widely appreciated by the public because it has a beautiful shape colour and flower formation one of trigger decrease of s plicata production caused by fusarium wilt which is caused the fusarium oxysporum using resistant s plicata cultivars are expected to be an alternative to control the disease a resistant s plicatta plantlet to fo has been initiated by in vitro selection on medium countaining fusaric acid on different concentrations this study aims to determine the peroxidase activity and total phenol of s plicata plantlet research conducted at the in vitro laboratory department of biology faculty of mathematics and natural of sciences university of lampung the study design was completely randomized data analyzed using analysis of variance and if significantly different followed by least significant difference lsd test 5% significance level the results showed that increasing the concentration of fusaric acid it also increases the peroxidase enzyme activity and total phenol in plantlet that resistant to f oxysporum at a concentration of 40 ppm peroxidase activity and the highest total phenol content are 0.536 unit mg second and 10.33%
11508,11508,['FP19'],analysis of peroxidase activity and total phenol from spathoglottis plicata bi plantlet toward to fusarium oxysporum,similarity check,['S1'],International Journal of Applied Agricultural Sciences,Science Publishing Group,2016,,,en,similarity check
11509,11509,['FMIPA5'],analysis of peroxidase activity and total phenol from spathoglottis plicata bl plantlet toward to fusarium oxysporum,ground orchid spathoglottis plicata bl is an ornamental plant widely appreciated by the public because it has a beautiful shape colour and flower formation one of trigger decrease of s plicata production caused by fusarium wilt which is caused the fusarium oxysporum using resistant s plicata cultivars are expected to be an alternative to control the disease a resistant s plicatta plantlet to fo has been initiated by in vitro selection on medium countaining fusaric acid on different concentrations this study aims to determine the peroxidase activity and total phenol of s plicata plantlet research conducted at the in vitro laboratory department of biology faculty of mathematics and natural of sciences university of lampung the study design was completely randomized data analyzed using analysis of variance and if significantly different followed by least significant difference lsd test 5% significance level the results showed that increasing the concentration of fusaric acid it also increases the peroxidase enzyme activity and total phenol in plantlet that resistant to f oxysporum at a concentration of 40 ppm peroxidase activity and the highest total phenol content are 0.536 unit mg second and 10.33%,['QK'],International Journal of Applied Agricultural Sciences,Science Publishing Group,2016-10-14,,"['spathoglottis plicata', 'induced resistance', 'fusarium oxysporum', 'peroxidase activity', 'total phenol']",en,ground orchid spathoglottis plicata bl is an ornamental plant widely appreciated by the public because it has a beautiful shape colour and flower formation one of trigger decrease of s plicata production caused by fusarium wilt which is caused the fusarium oxysporum using resistant s plicata cultivars are expected to be an alternative to control the disease a resistant s plicatta plantlet to fo has been initiated by in vitro selection on medium countaining fusaric acid on different concentrations this study aims to determine the peroxidase activity and total phenol of s plicata plantlet research conducted at the in vitro laboratory department of biology faculty of mathematics and natural of sciences university of lampung the study design was completely randomized data analyzed using analysis of variance and if significantly different followed by least significant difference lsd test 5% significance level the results showed that increasing the concentration of fusaric acid it also increases the peroxidase enzyme activity and total phenol in plantlet that resistant to f oxysporum at a concentration of 40 ppm peroxidase activity and the highest total phenol content are 0.536 unit mg second and 10.33%
